config_id,cache,allocs_per_op_k,gc_pause_us,gc_cycles_per_sec,alloc_rate_mb_per_sec
size_64mb,Ristretto,0.0072,1735.85,1.0325,209.34
size_64mb,Adaptive_TinyLFU,0.0030,1418.22,0.6695,95.57
size_64mb,BigCache,0.0030,283.63,0.1995,33.74
size_64mb,GoCache,0.0024,452.99,0.2766,75.80
size_64mb,GCAware,0.0021,210.76,0.0571,16.69
size_128mb,Ristretto,0.0071,2193.72,1.0132,207.83
size_128mb,Adaptive_TinyLFU,0.0030,1381.82,0.5175,86.79
size_128mb,BigCache,0.0030,574.90,0.1960,41.41
size_128mb,GoCache,0.0024,460.40,0.3216,88.15
size_128mb,GCAware,0.0021,216.76,0.0472,15.53
size_256mb,Ristretto,0.0070,1923.92,0.8243,192.89
size_256mb,Adaptive_TinyLFU,0.0030,1276.31,0.4550,77.32
size_256mb,BigCache,0.0030,315.28,0.1938,57.06
size_256mb,GoCache,0.0024,359.23,0.3271,89.64
size_256mb,GCAware,0.0021,237.69,0.0403,15.89
size_512mb,Ristretto,0.0068,1580.82,0.6879,187.25
size_512mb,Adaptive_TinyLFU,0.0029,897.46,0.3322,69.43
size_512mb,BigCache,0.0030,279.31,0.1105,76.03
size_512mb,GoCache,0.0024,2130.41,0.3335,91.39
size_512mb,GCAware,0.0022,525.06,0.0764,19.30
size_1gb,Ristretto,0.0064,1621.83,0.6284,178.41
size_1gb,Adaptive_TinyLFU,0.0029,1071.03,0.2440,62.45
size_1gb,BigCache,0.0031,300.76,0.0859,96.40
size_1gb,GoCache,0.0024,393.05,0.3169,86.86
size_1gb,GCAware,0.0023,259.23,0.0746,25.97
val_256b,Ristretto,0.0021,432.86,2.7024,110.37
val_256b,Adaptive_TinyLFU,0.0011,56.98,1.4543,29.98
val_256b,BigCache,0.0030,182.31,0.9407,466.91
val_256b,GoCache,0.0011,152.03,1.3687,28.58
val_256b,GCAware,0.0011,176.03,1.5473,43.55
val_1kb,Ristretto,0.0021,341.58,2.8429,115.88
val_1kb,Adaptive_TinyLFU,0.0011,40.61,1.5794,32.56
val_1kb,BigCache,0.0030,397.91,2.7668,1328.01
val_1kb,GoCache,0.0011,160.67,1.4108,28.66
val_1kb,GCAware,0.0011,100.63,1.5522,43.85
val_4kb,Ristretto,0.0021,336.21,2.7821,113.57
val_4kb,Adaptive_TinyLFU,0.0011,62.21,1.5606,32.18
val_4kb,BigCache,0.0030,1399.19,3.9601,2155.93
val_4kb,GoCache,0.0011,73.09,1.3829,29.00
val_4kb,GCAware,0.0011,183.23,1.5861,44.81
val_16kb,Ristretto,0.0022,255.20,2.7761,110.05
val_16kb,Adaptive_TinyLFU,0.0011,77.29,1.4132,28.67
val_16kb,BigCache,0.0030,5339.56,5.9284,3463.76
val_16kb,GoCache,0.0011,76.51,1.3755,28.07
val_16kb,GCAware,0.0011,113.60,1.4365,34.28
val_64kb,Ristretto,0.0023,88.92,1.4096,99.53
val_64kb,Adaptive_TinyLFU,0.0011,76.90,1.4203,25.49
val_64kb,BigCache,0.0030,20776.14,6.5222,4220.59
val_64kb,GoCache,0.0011,185.20,1.3944,28.46
val_64kb,GCAware,0.0011,106.20,1.3987,21.58
skew_0.80,Ristretto,0.0020,243.20,1.2154,83.58
skew_0.80,Adaptive_TinyLFU,0.0010,41.01,0.6620,18.66
skew_0.80,BigCache,0.0030,1917.78,4.8056,1575.99
skew_0.80,GoCache,0.0010,122.27,0.5772,16.86
skew_0.80,GCAware,0.0010,71.62,0.6899,21.57
skew_0.90,Ristretto,0.0021,189.01,1.1420,97.56
skew_0.90,Adaptive_TinyLFU,0.0010,45.08,0.6062,22.52
skew_0.90,BigCache,0.0030,1478.43,4.3627,1517.43
skew_0.90,GoCache,0.0010,313.05,0.5621,22.93
skew_0.90,GCAware,0.0010,177.34,0.6491,32.44
skew_0.95,Ristretto,0.0021,342.99,1.1079,112.43
skew_0.95,Adaptive_TinyLFU,0.0011,102.57,0.6042,28.90
skew_0.95,BigCache,0.0030,1807.46,4.0664,1398.83
skew_0.95,GoCache,0.0011,225.96,0.5411,30.19
skew_0.95,GCAware,0.0011,177.90,0.6307,46.66
skew_0.99,Ristretto,0.0021,381.63,1.1184,99.27
skew_0.99,Adaptive_TinyLFU,0.0011,124.94,0.6032,28.39
skew_0.99,BigCache,0.0030,1561.52,4.3081,1494.82
skew_0.99,GoCache,0.0011,71.88,0.5438,24.74
skew_0.99,GCAware,0.0011,151.70,0.6334,35.98
