config_id,cache,hit_ratio
size_64mb,Ristretto,0.0123
size_64mb,Adaptive_TinyLFU,0.0130
size_64mb,BigCache,0.0125
size_64mb,GoCache,0.5677
size_128mb,Ristretto,0.0246
size_128mb,Adaptive_TinyLFU,0.0260
size_128mb,BigCache,0.0251
size_128mb,GoCache,0.5677
size_256mb,Ristretto,0.0489
size_256mb,Adaptive_TinyLFU,0.0518
size_256mb,BigCache,0.0500
size_256mb,GoCache,0.5677
size_512mb,Ristretto,0.0954
size_512mb,Adaptive_TinyLFU,0.1020
size_512mb,BigCache,0.0990
size_512mb,GoCache,0.5677
size_1gb,Ristretto,0.1832
size_1gb,Adaptive_TinyLFU,0.1980
size_1gb,BigCache,0.1924
size_1gb,GoCache,0.5677
val_256b,Ristretto,0.9718
val_256b,Adaptive_TinyLFU,0.9718
val_256b,BigCache,0.9718
val_256b,GoCache,0.9718
val_1kb,Ristretto,0.9718
val_1kb,Adaptive_TinyLFU,0.9718
val_1kb,BigCache,0.9718
val_1kb,GoCache,0.9718
val_4kb,Ristretto,0.9718
val_4kb,Adaptive_TinyLFU,0.9718
val_4kb,BigCache,0.9718
val_4kb,GoCache,0.9718
val_16kb,Ristretto,0.9713
val_16kb,Adaptive_TinyLFU,0.9712
val_16kb,BigCache,0.9706
val_16kb,GoCache,0.9718
val_64kb,Ristretto,0.9694
val_64kb,Adaptive_TinyLFU,0.9691
val_64kb,BigCache,0.9670
val_64kb,GoCache,0.9718
skew_0.80,Ristretto,0.9969
skew_0.80,Adaptive_TinyLFU,0.9969
skew_0.80,BigCache,0.9969
skew_0.80,GoCache,0.9969
skew_0.90,Ristretto,0.9865
skew_0.90,Adaptive_TinyLFU,0.9865
skew_0.90,BigCache,0.9865
skew_0.90,GoCache,0.9865
skew_0.95,Ristretto,0.9752
skew_0.95,Adaptive_TinyLFU,0.9752
skew_0.95,BigCache,0.9752
skew_0.95,GoCache,0.9752
skew_0.99,Ristretto,0.9828
skew_0.99,Adaptive_TinyLFU,0.9828
skew_0.99,BigCache,0.9828
skew_0.99,GoCache,0.9828
