config_id,cache,memory_mb
size_64mb,Ristretto,223.95
size_64mb,Adaptive_TinyLFU,166.94
size_64mb,BigCache,224.29
size_64mb,GoCache,702.21
size_128mb,Ristretto,240.79
size_128mb,Adaptive_TinyLFU,180.14
size_128mb,BigCache,293.30
size_128mb,GoCache,702.22
size_256mb,Ristretto,266.02
size_256mb,Adaptive_TinyLFU,205.88
size_256mb,BigCache,430.30
size_256mb,GoCache,702.23
size_512mb,Ristretto,317.32
size_512mb,Adaptive_TinyLFU,255.59
size_512mb,BigCache,703.81
size_512mb,GoCache,702.23
size_1gb,Ristretto,419.06
size_1gb,Adaptive_TinyLFU,349.74
size_1gb,BigCache,1251.89
size_1gb,GoCache,702.24
val_256b,Ristretto,641.36
val_256b,Adaptive_TinyLFU,38.34
val_256b,BigCache,581.75
val_256b,GoCache,36.73
val_1kb,Ristretto,91.94
val_1kb,Adaptive_TinyLFU,38.35
val_1kb,BigCache,581.75
val_1kb,GoCache,36.92
val_4kb,Ristretto,91.84
val_4kb,Adaptive_TinyLFU,38.36
val_4kb,BigCache,584.26
val_4kb,GoCache,37.11
val_16kb,Ristretto,88.16
val_16kb,Adaptive_TinyLFU,36.17
val_16kb,BigCache,597.52
val_16kb,GoCache,36.99
val_64kb,Ristretto,81.67
val_64kb,Adaptive_TinyLFU,32.64
val_64kb,BigCache,651.57
val_64kb,GoCache,37.13
skew_0.80,Ristretto,129.17
skew_0.80,Adaptive_TinyLFU,78.73
skew_0.80,BigCache,354.03
skew_0.80,GoCache,78.83
skew_0.90,Ristretto,143.85
skew_0.90,Adaptive_TinyLFU,85.27
skew_0.90,BigCache,354.03
skew_0.90,GoCache,85.33
skew_0.95,Ristretto,155.11
skew_0.95,Adaptive_TinyLFU,92.65
skew_0.95,BigCache,354.03
skew_0.95,GoCache,93.40
skew_0.99,Ristretto,144.31
skew_0.99,Adaptive_TinyLFU,88.82
skew_0.99,BigCache,354.03
skew_0.99,GoCache,86.03
