config_id,cache,ops_per_sec
size_64mb,Ristretto,1207417.40
size_64mb,Adaptive_TinyLFU,907856.52
size_64mb,BigCache,756156.26
size_64mb,GoCache,867281.94
size_128mb,Ristretto,744241.50
size_128mb,Adaptive_TinyLFU,816670.05
size_128mb,BigCache,727912.19
size_128mb,GoCache,856973.71
size_256mb,Ristretto,718342.32
size_256mb,Adaptive_TinyLFU,736666.32
size_256mb,BigCache,702690.67
size_256mb,GoCache,864593.17
size_512mb,Ristretto,726438.62
size_512mb,Adaptive_TinyLFU,677187.17
size_512mb,BigCache,680539.59
size_512mb,GoCache,875713.06
size_1gb,Ristretto,716496.33
size_1gb,Adaptive_TinyLFU,646791.58
size_1gb,BigCache,654144.48
size_1gb,GoCache,844393.67
val_256b,Ristretto,1075823.88
val_256b,Adaptive_TinyLFU,1825031.55
val_256b,BigCache,1346654.98
val_256b,GoCache,2055916.18
val_1kb,Ristretto,1526089.54
val_1kb,Adaptive_TinyLFU,1946487.37
val_1kb,BigCache,1050721.69
val_1kb,GoCache,2090821.30
val_4kb,Ristretto,1399609.28
val_4kb,Adaptive_TinyLFU,1907368.14
val_4kb,BigCache,662074.77
val_4kb,GoCache,2048650.75
val_16kb,Ristretto,1479320.29
val_16kb,Adaptive_TinyLFU,1947527.77
val_16kb,BigCache,278243.64
val_16kb,GoCache,1983609.50
val_64kb,Ristretto,1684967.74
val_64kb,Adaptive_TinyLFU,1454076.26
val_64kb,BigCache,98841.39
val_64kb,GoCache,2031329.24
skew_0.80,Ristretto,1719114.59
skew_0.80,Adaptive_TinyLFU,2106572.14
skew_0.80,BigCache,1276254.72
skew_0.80,GoCache,2125507.65
skew_0.90,Ristretto,1575567.92
skew_0.90,Adaptive_TinyLFU,1924921.05
skew_0.90,BigCache,1272103.38
skew_0.90,GoCache,2121494.24
skew_0.95,Ristretto,1534607.28
skew_0.95,Adaptive_TinyLFU,1412470.41
skew_0.95,BigCache,1256359.05
skew_0.95,GoCache,2000752.15
skew_0.99,Ristretto,1551451.41
skew_0.99,Adaptive_TinyLFU,1589376.79
skew_0.99,BigCache,1273908.34
skew_0.99,GoCache,2062346.44
